model_key,axis,exposure_log_rate_effect_mean,exposure_log_rate_hdi_low,exposure_log_rate_hdi_high,RSA_mean,RSA_hdi_low,RSA_hdi_high,Q_mean,Q_hdi_low,Q_hdi_high,MI_mean,JSD_mean,NMA_mean_father_mother_only,diversity_H_normalized_mean,diversity_effective_vocab_mean,lexicon_coverage_mean,RSA_country_icc
ollama-mistral-7b,role,-0.004954759732271123,-0.10257557369551756,0.09396194766109667,0.04731539426981072,-0.024807710472922656,0.12857051461025376,0.023643956805511776,-0.014634769458699667,0.06288068599394454,0.035894709090570916,0.037192868702657055,0.5203413935878243,0.9663935351726779,13.719424263120663,0.024398945245850727,0.04030205180796018
ollama-qwen25-3b,role,0.1923532981104361,0.0895156547989305,0.29038402814425157,0.046467299023391286,-0.029461905913486075,0.12558349450110112,0.02322024408863148,-0.015620969778193992,0.0618802270280383,0.025085035983948567,0.026126247815779956,-0.47945785166670263,0.9734189409375531,13.91488571493548,0.0243097564758802,0.005219786088772521
ollama-gemma2-2b,role,-0.1704656933681794,-0.2780971234578346,-0.07703713793780177,0.023002103388812613,-0.05664250944175385,0.10381642018080348,0.011495554904292498,-0.028603812996869007,0.05166888950754776,0.03736847855534327,0.03922545779982468,-0.2737373671012818,0.9643917904557175,11.47180832556508,0.020399022801302867,-0.015703172857121042
anthropic-sonnet46,trait,0.3354043406477943,-0.034468144696073164,0.7150859910255268,1.4911604550575797,0.971839986235297,2.07685474962879,0.6249241958899866,0.44330617760179125,0.7750053248889559,0.03287896418982132,0.03602918365888113,0.19111617365763736,0.9965956597522704,1.0672699502022764,0.0711711711711711,0.040851760341929985
anthropic-haiku45,trait,0.2658506921881885,-0.10504935948576899,0.646781336579994,1.2600761097308397,0.8017903780843968,1.6727850251398417,0.5533034673142225,0.39403977815462077,0.6927051365045668,0.03459154747138002,0.03742396170147936,-0.1255556901334982,0.9897869792568111,1.1079985196855289,0.07395833333333326,-0.014974842387133173
ollama-llama32-3b,trait,-0.2405622383921898,-0.5979367483172869,0.16169558161148842,0.9715009511243627,0.45274104882807725,1.4813446496629825,0.444627473151328,0.22393707331314738,0.6336341311430308,0.020549106613831043,0.022712378120892666,-0.07737286288863458,0.9883279762934986,1.075299252184069,0.07176684881602907,0.027403307729859157
ollama-gemma3-12b,trait,0.911202318769863,0.5405061418802919,1.271963874548999,0.9610501219631062,0.5638195857248723,1.344215133778039,0.44303048599628003,0.27690831670244226,0.5887469471648119,0.04117551173206234,0.04519735820208299,0.37701662861959023,0.9613490951622014,1.1322074587941613,0.07594936708860753,0.036166248245177716
ollama-llama32-1b,trait,-0.8758276182950783,-1.369975137679141,-0.3852492369889357,0.7159886448605012,-0.1898128347578023,1.6149882792081383,0.3296554843682312,-0.09168128474543442,0.6706087102481285,0.002698093942618476,0.0030433743745326464,-0.055497859049451724,,1.0,0.0666666666666666,0.03031099844222753
ollama-gemma3-27b,trait,1.3455761511445998,0.9885343030067467,1.7171298489907965,0.7058762974277507,0.4107180190588068,1.0007561477632687,0.33720401777016773,0.20311974955026002,0.4629861584187306,0.05224647136398239,0.056175651990048064,0.2511113802669965,0.9577149739080074,1.2449813747559388,0.08398645379777449,0.03384483306072951
ollama-gptoss-20b,trait,0.06954237183997339,-0.3120141572814228,0.4601135486072219,0.656010346684472,0.09945484565730361,1.2330103818659541,0.3109727722827189,0.04436483540233764,0.5455949938877289,0.021074560982964206,0.023380503807736795,-0.6553193211440593,0.9927414663253512,1.136268599738642,0.07583774250440911,-0.032544936101508506
openai-gpt4o,trait,-0.662534534967822,-1.0332628535311106,-0.24703678587463843,0.640696540295332,0.08150694934055291,1.2210585457305065,0.304201390452504,0.029401732728575068,0.5407358702725185,0.014809845921268064,0.01630662712328716,0.18613464831064366,1.0,1.055944055944056,0.07039627039627033,-0.007461910485289529
ollama-llama31-8b,trait,0.2747857506370884,-0.07268237485252275,0.6735360331367318,0.5410419692205696,0.11952169742468965,0.9489459297473639,0.2613521574034587,0.06756105376165919,0.44818683619990735,0.028024655958438324,0.030498913603642056,0.32628535626602734,0.9945530556036327,1.1037622409396677,0.07363530778164919,0.02959895166417151
ollama-mistral-7b,trait,-0.9633269465512757,-1.3499494037116913,-0.5456094873164009,0.5221552374389326,-0.06477210724044502,1.1411390704423177,0.24983386591252635,-0.04084372376927349,0.5095873325962983,0.01107653067661604,0.012151996308305244,0.014595017821885443,0.9836591668108978,1.0474745783965271,0.06990291262135916,-0.008850842970021911
ollama-mistral-nemo,trait,-0.23798764703657957,-0.6050445003487995,0.14976589240165405,0.500200993841645,0.06634207969702144,0.9713769163216783,0.24196767179870265,0.020213679737307692,0.4441021126504169,0.02003599177901654,0.02224278091433937,0.045983940355259975,1.0,1.0913461538461537,0.07275641025641019,-0.015054149315230693
ollama-qwen25-3b,trait,-0.8270413793311845,-1.2340915284814649,-0.41592528743584967,0.4928733644994308,-0.25252703452219083,1.172162518735565,0.234736424233871,-0.11909436224965328,0.5349104347087947,0.00955381078167716,0.010632037200223802,0.06277784506674909,,1.0,0.0666666666666666,-0.010305127210543542
ollama-llama3-70b,trait,0.2235558548200915,-0.1387101068197568,0.6122202150717864,0.46890612371536383,0.023611827303936628,0.8849262199923265,0.2276598211306669,0.020492215716130337,0.4242657213573453,0.037083128155864724,0.03973143117467356,0.09196788071052002,0.991829583405449,1.0972775236869734,0.07322404371584693,-0.011300584120157754
ollama-qwen25-7b,trait,-0.6693958011084029,-1.0672247005978244,-0.26503829188595907,0.4597267411332704,-0.0871914817928976,1.0529847764351332,0.2215719591978493,-0.05875148839582241,0.4748975467724644,0.013009251591781656,0.014414672324380295,0.03138892253337456,1.0,1.040983606557377,0.06939890710382507,-0.026000729257469067
ollama-gemma2-2b,trait,0.08524954882100727,-0.27961760446065476,0.47210207465389026,0.43239288983364677,0.0005274847117988646,0.8706273444428091,0.21041619028331518,-0.004586444100226516,0.4059013759118532,0.025917157787492023,0.028787637979189196,-0.19551394743684467,0.9794418638605557,1.1433485905988352,0.07648578811369502,0.005444501131017326
openai-gpt41,trait,0.6834947435861093,0.30065567679123784,1.0480499331776294,0.27285065462929287,-0.10534750287499978,0.6248946298369713,0.13442614088951763,-0.05024943093246877,0.3071787712549783,0.030781874408656738,0.03371781697530553,0.3042757328588538,0.9925279868211695,1.3170593739770409,0.08804071246819334,-0.001652309514084728
