model_key,country,narrator_role,recipient_gender_condition,axis,n_unique_words,n_matched_tokens,H_raw,effective_vocab_size,H_normalized,simpson_concentration,gini_simpson_diversity,lexicon_coverage
anthropic-haiku45,Australia,Aunt,male,role,11.0,13.0,2.351673301904631,10.50312993618945,0.9807239409418418,0.10059171597633138,0.8994082840236686,0.017915309446254073
anthropic-haiku45,Australia,Aunt,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Australia,Cousin,female,direct_marker,4.0,19.0,1.2112144216250418,3.357559670724596,0.8737065197658209,0.32409972299168965,0.6759002770083103,0.11428571428571428
anthropic-haiku45,Australia,Cousin,female,domain,3.0,6.0,0.8675632284814612,2.381101577952299,0.7896900821428474,0.5,0.5,0.09090909090909091
anthropic-haiku45,Australia,Cousin,female,role,14.0,20.0,2.4843668399738017,11.993524030282877,0.9413841874878828,0.1,0.9,0.02280130293159609
anthropic-haiku45,Australia,Cousin,male,direct_marker,3.0,5.0,0.9502705392332347,2.586409289858933,0.8649735207179272,0.44000000000000006,0.5599999999999999,0.08571428571428572
anthropic-haiku45,Australia,Cousin,male,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Australia,Cousin,male,role,14.0,16.0,2.599301927099795,13.45434264405943,0.9849357563894758,0.078125,0.921875,0.02280130293159609
anthropic-haiku45,Australia,Cousin,male,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Australia,Family Doctor,female,direct_marker,4.0,16.0,1.1246702892376168,3.079201435678004,0.8112781244591329,0.390625,0.609375,0.11428571428571428
anthropic-haiku45,Australia,Family Doctor,female,domain,2.0,6.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Australia,Family Doctor,female,role,21.0,34.0,2.8665551917592813,17.57636658077728,0.941545102851264,0.06920415224913495,0.9307958477508651,0.03420195439739414
anthropic-haiku45,Australia,Family Doctor,female,trait,1.0,1.0,-0.0,1.0,,1.0,0.0,0.06666666666666667
anthropic-haiku45,Australia,Family Doctor,male,direct_marker,3.0,10.0,0.8018185525433372,2.229591873920416,0.7298466991620974,0.5399999999999999,0.4600000000000001,0.08571428571428572
anthropic-haiku45,Australia,Family Doctor,male,role,16.0,20.0,2.718473401330013,15.157165665103985,0.9804820237218407,0.07,0.9299999999999999,0.026058631921824105
anthropic-haiku45,Australia,Father,female,direct_marker,3.0,7.0,0.7963116401738131,2.2173474522732106,0.72483409150576,0.5510204081632654,0.44897959183673464,0.08571428571428572
anthropic-haiku45,Australia,Father,female,role,8.0,10.0,2.0253262207700677,7.578582832551992,0.9739760316291209,0.14,0.86,0.013029315960912053
anthropic-haiku45,Australia,Father,male,direct_marker,4.0,8.0,1.0735428464085233,2.9257265599673192,0.7743974703476993,0.4375,0.5625,0.11428571428571428
anthropic-haiku45,Australia,Father,male,domain,2.0,2.0,0.6931471805599453,2.0,1.0,0.5,0.5,0.06060606060606061
anthropic-haiku45,Australia,Father,male,role,11.0,19.0,2.2148103680507085,9.159671980453703,0.9236476643394022,0.1301939058171745,0.8698060941828255,0.017915309446254073
anthropic-haiku45,Australia,Grandfather,female,direct_marker,1.0,8.0,-0.0,1.0,,1.0,0.0,0.02857142857142857
anthropic-haiku45,Australia,Grandfather,female,role,10.0,11.0,2.2718685126965625,9.697503804956236,0.9866599586738648,0.10743801652892562,0.8925619834710744,0.016286644951140065
anthropic-haiku45,Australia,Grandfather,male,direct_marker,2.0,7.0,0.6829081047004717,1.9796263300525183,0.9852281360342515,0.510204081632653,0.48979591836734704,0.05714285714285714
anthropic-haiku45,Australia,Grandfather,male,role,12.0,16.0,2.3933121229745242,10.94970070458694,0.9631396508109106,0.1015625,0.8984375,0.019543973941368076
anthropic-haiku45,Australia,Grandmother,female,direct_marker,4.0,20.0,1.2353468116280646,3.4395711971628704,0.8911143594569007,0.325,0.675,0.11428571428571428
anthropic-haiku45,Australia,Grandmother,female,domain,2.0,4.0,0.5623351446188083,1.7547653506033232,0.8112781244591328,0.625,0.375,0.06060606060606061
anthropic-haiku45,Australia,Grandmother,female,role,8.0,9.0,2.0431918705451206,7.715195845677657,0.9825675930733636,0.13580246913580246,0.8641975308641976,0.013029315960912053
anthropic-haiku45,Australia,Grandmother,male,direct_marker,2.0,11.0,0.30463609734923813,1.3561314133862727,0.43949698692151334,0.8347107438016528,0.16528925619834722,0.05714285714285714
anthropic-haiku45,Australia,Grandmother,male,role,13.0,16.0,2.512658529529802,12.337686603263528,0.979613309799034,0.0859375,0.9140625,0.021172638436482084
anthropic-haiku45,Australia,Mother,female,direct_marker,4.0,15.0,1.1369165918330009,3.117142110535455,0.820111964470926,0.37777777777777777,0.6222222222222222,0.11428571428571428
anthropic-haiku45,Australia,Mother,female,domain,1.0,4.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
anthropic-haiku45,Australia,Mother,female,role,11.0,12.0,2.3693821196946763,10.690784617684074,0.9881090915741206,0.09722222222222224,0.9027777777777778,0.017915309446254073
anthropic-haiku45,Australia,Mother,male,direct_marker,5.0,13.0,1.2636256721237276,3.538226709517428,0.7851347742968418,0.3609467455621301,0.63905325443787,0.14285714285714285
anthropic-haiku45,Australia,Mother,male,role,10.0,11.0,2.2718685126965625,9.697503804956236,0.9866599586738648,0.10743801652892562,0.8925619834710744,0.016286644951140065
anthropic-haiku45,Australia,Nanny,female,direct_marker,4.0,21.0,1.1786585209755922,3.250011455080512,0.8502224015565036,0.346938775510204,0.653061224489796,0.11428571428571428
anthropic-haiku45,Australia,Nanny,female,domain,4.0,8.0,1.3208883431493221,3.7467482975009925,0.9528195311147832,0.28125,0.71875,0.12121212121212122
anthropic-haiku45,Australia,Nanny,female,role,12.0,17.0,2.313153678733634,10.10624630505819,0.9308815198071849,0.12110726643598616,0.8788927335640139,0.019543973941368076
anthropic-haiku45,Australia,Nanny,male,direct_marker,4.0,11.0,1.1685184057430877,3.2172224873263437,0.8429078545765152,0.371900826446281,0.628099173553719,0.11428571428571428
anthropic-haiku45,Australia,Nanny,male,domain,1.0,1.0,-0.0,1.0,,1.0,0.0,0.030303030303030304
