model_key,country,narrator_role,axis,exposure_E_daughter,exposure_E_son,O_daughter,O_son,RSA,Q,MI,JSD,Y_F_daughter,Y_M_daughter,Y_F_son,Y_M_son,n_stories_daughter,n_stories_son,low_confidence
anthropic-haiku45,Australia,Nanny,domain,72.72727272727273,10.416666666666666,-0.38853401449050473,1.3460670408976017,1.7346010553881064,0.7,0.03872906771504139,0.05633748302166197,8.0,0.0,1.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Nanny,role,154.54545454545453,208.33333333333331,-1.0657440666744984,-0.23214505064545676,0.8335990160290416,0.39423076923076916,0.02391826696182152,0.024174454272926242,14.0,3.0,13.0,7.0,1.0,1.0,True
anthropic-haiku45,Australia,Nanny,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Older Brother,domain,62.5,0.0,-0.1202700278958253,2.4446793295657114,2.5649493574615367,0.8571428571428571,0.09373615738883026,0.17750440524619315,6.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Older Brother,role,239.58333333333331,138.29787234042553,-0.6347570897712147,-0.07967645700118331,0.5550806327700314,0.2706270627062706,0.01141612952649481,0.012162290402097167,17.0,6.0,8.0,5.0,1.0,1.0,True
anthropic-haiku45,Australia,Older Brother,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Older Sister,domain,39.21568627450981,9.9009900990099,0.24745475222949187,3.5432916182338214,3.2958368660043296,0.9285714285714286,0.2963299661573922,0.34357140359897864,4.0,0.0,0.0,1.0,1.0,1.0,True
anthropic-haiku45,Australia,Older Sister,role,156.86274509803923,108.91089108910892,-0.6660096332753193,1.242944809257565,1.9089544425328842,0.7418032786885246,0.14315018860205908,0.1471609123443356,12.0,4.0,3.0,8.0,1.0,1.0,True
anthropic-haiku45,Australia,Older Sister,trait,19.607843137254903,9.9009900990099,-0.9465856948345878,1.7614645062676222,2.70805020110221,0.875,0.2564258916820028,0.2643345551322264,2.0,0.0,0.0,1.0,1.0,1.0,True
anthropic-haiku45,Australia,Teacher,domain,41.23711340206186,43.01075268817204,0.24745475222949187,0.24745475222949187,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,True
